award_id,tender_id,winner_vendor_id,awarded_amount_inr,award_date,award_reason
A001,T001,V006,69018197,2023-02-23,Lowest responsive and technically qualified bidder (L1)
A002,T002,V011,134464544,2023-02-11,Lowest responsive and technically qualified bidder (L1)
A003,T003,V043,23627838,2023-03-10,Lowest responsive and technically qualified bidder (L1)
A004,T004,V014,17956609,2023-03-07,Lowest responsive and technically qualified bidder (L1)
A005,T005,V042,66022598,2023-03-11,Lowest responsive and technically qualified bidder (L1)
A006,T006,V026,76027932,2023-03-13,Lowest responsive and technically qualified bidder (L1)
A007,T007,V013,168773070,2023-03-07,Lowest responsive and technically qualified bidder (L1)
A008,T008,V004,116956566,2023-03-25,Lowest responsive and technically qualified bidder (L1)
A009,T009,V001,5416259,2023-03-15,Lowest responsive and technically qualified bidder (L1)
A010,T010,V001,24766823,2023-03-16,Lowest responsive and technically qualified bidder (L1)
A011,T011,V003,108970802,2023-03-14,Lowest responsive and technically qualified bidder (L1)
A012,T012,V037,40880423,2023-03-11,Lowest responsive and technically qualified bidder (L1)
A013,T013,V001,79954991,2023-03-24,Lowest responsive and technically qualified bidder (L1)
A014,T014,V004,149756528,2023-03-22,Lowest responsive and technically qualified bidder (L1)
A015,T015,V026,212345855,2023-03-16,Lowest responsive and technically qualified bidder (L1)
A016,T016,V006,4363314,2023-03-28,Lowest responsive and technically qualified bidder (L1)
A017,T017,V005,89118177,2023-03-26,Lowest responsive and technically qualified bidder (L1)
A018,T018,V001,18205736,2023-03-25,Lowest responsive and technically qualified bidder (L1)
A019,T019,V001,101656625,2023-04-04,Lowest responsive and technically qualified bidder (L1)
A020,T020,V001,72205891,2023-03-09,Lowest responsive and technically qualified bidder (L1)
A021,T021,V001,12961186,2023-04-10,Lowest responsive and technically qualified bidder (L1)
A022,T022,V002,20028670,2023-03-30,Lowest responsive and technically qualified bidder (L1)
A023,T023,V017,119720028,2023-04-08,Lowest responsive and technically qualified bidder (L1)
A024,T024,V036,166308867,2023-03-30,Lowest responsive and technically qualified bidder (L1)
A025,T025,V001,105696127,2023-04-10,Lowest responsive and technically qualified bidder (L1)
A026,T026,V014,27169693,2023-04-11,Lowest responsive and technically qualified bidder (L1)
A027,T027,V024,69165240,2023-03-29,Lowest responsive and technically qualified bidder (L1)
A028,T028,V044,29001190,2023-04-07,Lowest responsive and technically qualified bidder (L1)
A029,T029,V001,74092452,2023-04-08,Lowest responsive and technically qualified bidder (L1)
A030,T030,V001,28121996,2023-04-14,Lowest responsive and technically qualified bidder (L1)
A031,T031,V021,210908138,2023-04-18,Lowest responsive and technically qualified bidder (L1)
A032,T032,V029,153988404,2023-04-04,Lowest responsive and technically qualified bidder (L1)
A033,T033,V001,165609321,2023-04-24,Lowest responsive and technically qualified bidder (L1)
A034,T034,V001,110062170,2023-04-19,Lowest responsive and technically qualified bidder (L1)
A035,T035,V002,9772625,2023-03-26,Lowest responsive and technically qualified bidder (L1)
A036,T036,V001,111626162,2023-04-12,Lowest responsive and technically qualified bidder (L1)
A037,T037,V042,82239564,2023-04-29,Lowest responsive and technically qualified bidder (L1)
A038,T038,V016,134451015,2023-04-25,Lowest responsive and technically qualified bidder (L1)
A039,T039,V036,130551246,2023-04-13,Lowest responsive and technically qualified bidder (L1)
A040,T040,V017,17723017,2023-04-25,Lowest responsive and technically qualified bidder (L1)
A041,T041,V042,13536665,2023-04-30,Lowest responsive and technically qualified bidder (L1)
A042,T042,V026,44449397,2023-05-02,Lowest responsive and technically qualified bidder (L1)
A043,T043,V024,149704982,2023-04-22,Lowest responsive and technically qualified bidder (L1)
A044,T044,V031,128308413,2023-05-03,Lowest responsive and technically qualified bidder (L1)
A045,T045,V040,117733340,2023-05-03,Lowest responsive and technically qualified bidder (L1)
A046,T046,V019,48889257,2023-05-07,Lowest responsive and technically qualified bidder (L1)
A047,T047,V006,119308618,2023-05-11,Lowest responsive and technically qualified bidder (L1)
A048,T048,V035,23727930,2023-05-12,Lowest responsive and technically qualified bidder (L1)
A049,T049,V015,14587783,2023-05-04,Lowest responsive and technically qualified bidder (L1)
A050,T050,V021,11315875,2023-05-08,Lowest responsive and technically qualified bidder (L1)
A051,T051,V049,54732360,2023-05-10,Lowest responsive and technically qualified bidder (L1)
A052,T052,V032,40988727,2023-05-06,Lowest responsive and technically qualified bidder (L1)
A053,T053,V037,153514375,2023-05-11,Lowest responsive and technically qualified bidder (L1)
A054,T054,V001,77597319,2023-05-11,Lowest responsive and technically qualified bidder (L1)
A055,T055,V006,9760702,2023-05-06,Lowest responsive and technically qualified bidder (L1)
A056,T056,V014,32764549,2023-05-20,Lowest responsive and technically qualified bidder (L1)
A057,T057,V007,162092886,2023-05-24,Lowest responsive and technically qualified bidder (L1)
A058,T058,V016,14584031,2023-05-19,Lowest responsive and technically qualified bidder (L1)
A059,T059,V044,102750686,2023-05-21,Lowest responsive and technically qualified bidder (L1)
A060,T060,V023,9672489,2023-05-28,Lowest responsive and technically qualified bidder (L1)
A061,T061,V023,10938438,2023-05-18,Lowest responsive and technically qualified bidder (L1)
A062,T062,V048,40307759,2023-05-29,Lowest responsive and technically qualified bidder (L1)
A063,T063,V028,28659852,2023-05-27,Lowest responsive and technically qualified bidder (L1)
A064,T064,V027,164741700,2023-05-23,Lowest responsive and technically qualified bidder (L1)
A065,T065,V027,143586927,2023-05-18,Lowest responsive and technically qualified bidder (L1)
A066,T066,V032,110430016,2023-05-24,Lowest responsive and technically qualified bidder (L1)
A067,T067,V030,98583557,2023-05-21,Lowest responsive and technically qualified bidder (L1)
A068,T068,V015,28291158,2023-05-29,Lowest responsive and technically qualified bidder (L1)
A069,T069,V006,133686281,2023-06-04,Lowest responsive and technically qualified bidder (L1)
A070,T070,V050,32375070,2023-06-02,Lowest responsive and technically qualified bidder (L1)
A071,T071,V040,123609493,2023-05-27,Lowest responsive and technically qualified bidder (L1)
A072,T072,V001,131803676,2023-06-11,Lowest responsive and technically qualified bidder (L1)
A073,T073,V020,80208016,2023-06-06,Lowest responsive and technically qualified bidder (L1)
A074,T074,V011,123799137,2023-06-17,Lowest responsive and technically qualified bidder (L1)
A075,T075,V017,162349359,2023-06-12,Lowest responsive and technically qualified bidder (L1)
A076,T076,V025,34462861,2023-06-04,Lowest responsive and technically qualified bidder (L1)
A077,T077,V048,69368664,2023-06-15,Lowest responsive and technically qualified bidder (L1)
A078,T078,V018,8090013,2023-06-23,Lowest responsive and technically qualified bidder (L1)
A079,T079,V017,77662177,2023-06-18,Lowest responsive and technically qualified bidder (L1)
A080,T080,V034,27204903,2023-06-22,Lowest responsive and technically qualified bidder (L1)
A081,T081,V041,4238826,2023-06-12,Lowest responsive and technically qualified bidder (L1)
A082,T082,V019,27460418,2023-06-20,Lowest responsive and technically qualified bidder (L1)
A083,T083,V008,88990512,2023-06-14,Lowest responsive and technically qualified bidder (L1)
A084,T084,V004,42271289,2023-06-29,Lowest responsive and technically qualified bidder (L1)
A085,T085,V047,138467697,2023-06-16,Lowest responsive and technically qualified bidder (L1)
A086,T086,V018,29633518,2023-06-29,Lowest responsive and technically qualified bidder (L1)
A087,T087,V042,52723832,2023-06-30,Lowest responsive and technically qualified bidder (L1)
A088,T088,V015,130286019,2023-06-23,Lowest responsive and technically qualified bidder (L1)
A089,T089,V030,132454935,2023-07-03,Lowest responsive and technically qualified bidder (L1)
A090,T090,V036,34652833,2023-06-29,Lowest responsive and technically qualified bidder (L1)
A091,T091,V012,55508075,2023-07-07,Lowest responsive and technically qualified bidder (L1)
A092,T092,V020,66009659,2023-07-06,Lowest responsive and technically qualified bidder (L1)
A093,T093,V032,43083140,2023-06-28,Lowest responsive and technically qualified bidder (L1)
A094,T094,V008,41019435,2023-06-24,Lowest responsive and technically qualified bidder (L1)
A095,T095,V034,89028923,2023-07-11,Lowest responsive and technically qualified bidder (L1)
A096,T096,V014,133638821,2023-06-29,Lowest responsive and technically qualified bidder (L1)
A097,T097,V032,104038693,2023-07-15,Lowest responsive and technically qualified bidder (L1)
A098,T098,V017,72648358,2023-07-08,Lowest responsive and technically qualified bidder (L1)
A099,T099,V022,89274552,2023-07-10,Lowest responsive and technically qualified bidder (L1)
A100,T100,V038,29102643,2023-07-16,Lowest responsive and technically qualified bidder (L1)
A101,T101,V037,48738414,2023-07-14,Lowest responsive and technically qualified bidder (L1)
A102,T102,V044,8480486,2023-07-11,Lowest responsive and technically qualified bidder (L1)
A103,T103,V031,9059747,2023-07-12,Lowest responsive and technically qualified bidder (L1)
A104,T104,V024,160165163,2023-07-22,Lowest responsive and technically qualified bidder (L1)
A105,T105,V042,57181545,2023-07-12,Lowest responsive and technically qualified bidder (L1)
A106,T106,V048,33763373,2023-07-27,Lowest responsive and technically qualified bidder (L1)
A107,T107,V004,24769443,2023-07-15,Lowest responsive and technically qualified bidder (L1)
A108,T108,V001,132246994,2023-07-18,Lowest responsive and technically qualified bidder (L1)
A109,T109,V027,97992643,2023-07-14,Lowest responsive and technically qualified bidder (L1)
A110,T110,V042,22558975,2023-07-29,Lowest responsive and technically qualified bidder (L1)
A111,T111,V009,8357216,2023-08-01,Lowest responsive and technically qualified bidder (L1)
A112,T112,V009,152455647,2023-07-27,Lowest responsive and technically qualified bidder (L1)
A113,T113,V048,38331752,2023-07-25,Lowest responsive and technically qualified bidder (L1)
A114,T114,V025,51150372,2023-08-08,Lowest responsive and technically qualified bidder (L1)
A115,T115,V009,126387439,2023-07-29,Lowest responsive and technically qualified bidder (L1)
A116,T116,V009,150863998,2023-08-02,Lowest responsive and technically qualified bidder (L1)
A117,T117,V028,141862038,2023-07-31,Lowest responsive and technically qualified bidder (L1)
A118,T118,V013,38154947,2023-08-04,Lowest responsive and technically qualified bidder (L1)
A119,T119,V036,142548985,2023-07-30,Lowest responsive and technically qualified bidder (L1)
A120,T120,V044,18824633,2023-08-14,Lowest responsive and technically qualified bidder (L1)
A121,T121,V026,79961386,2023-08-09,Lowest responsive and technically qualified bidder (L1)
A122,T122,V024,11284012,2023-08-07,Lowest responsive and technically qualified bidder (L1)
A123,T123,V014,68563709,2023-07-31,Lowest responsive and technically qualified bidder (L1)
A124,T124,V033,123254379,2023-08-15,Lowest responsive and technically qualified bidder (L1)
