bid_id,tender_id,vendor_id,bid_amount_inr,submission_timestamp,bid_status,disqualification_reason,technical_score,financial_score,is_winner
B0001,T001,V006,69018197,2023-02-07 00:30:00,QUALIFIED,,79.9,85.1,True
B0002,T002,V049,150987372,2023-01-22 00:30:00,QUALIFIED,,82.1,72.3,False
B0003,T002,V011,134464544,2023-01-20 23:30:00,QUALIFIED,,91.9,88.2,True
B0004,T003,V043,23627838,2023-01-20 02:30:00,QUALIFIED,,83.0,81.3,True
B0005,T003,V015,27286226,2023-02-10 22:30:00,DISQUALIFIED,Defective EMD bank guarantee instrument,45.4,0.0,False
B0006,T003,V050,24489948,2023-01-26 02:30:00,DISQUALIFIED,Non-submission of audited turnover sheet for FY23,52.2,0.0,False
B0007,T003,V019,25807205,2023-02-09 01:30:00,DISQUALIFIED,Defective EMD bank guarantee instrument,48.1,0.0,False
B0008,T004,V037,17983544,2023-01-31 20:30:00,QUALIFIED,,77.9,88.6,False
B0009,T004,V046,16879212,2023-01-26 23:30:00,DISQUALIFIED,Minor technical non-compliance in machinery deployment schedule,68.0,0.0,False
B0010,T004,V021,17589942,2023-01-25 21:30:00,QUALIFIED,,83.4,75.5,False
B0011,T004,V014,17956609,2023-01-27 20:30:00,QUALIFIED,,76.9,71.2,True
B0012,T004,V042,17589942,2023-02-10 01:30:00,QUALIFIED,,91.6,80.6,False
B0013,T005,V050,66121632,2023-02-07 03:30:00,QUALIFIED,,93.4,76.6,False
B0014,T005,V042,66022598,2023-02-16 02:30:00,QUALIFIED,,93.3,77.5,True
B0015,T005,V022,66729154,2023-02-01 00:30:00,QUALIFIED,,91.0,83.5,False
B0016,T005,V008,66729154,2023-01-28 03:30:00,QUALIFIED,,85.3,72.8,False
B0017,T005,V019,66729154,2023-02-09 23:30:00,QUALIFIED,,80.1,84.2,False
B0018,T005,V028,66729154,2023-02-19 02:30:00,QUALIFIED,,92.1,94.4,False
B0019,T006,V046,134703146,2023-02-04 20:30:00,QUALIFIED,,79.7,78.5,False
B0020,T006,V020,138641095,2023-02-14 00:30:00,DISQUALIFIED,Technical evaluation: non-compliant asphalt batching plant certification,59.9,0.0,False
B0021,T006,V026,76027932,2023-02-20 00:30:00,QUALIFIED,,76.4,70.8,True
B0022,T006,V043,131880370,2023-02-05 00:30:00,QUALIFIED,,85.2,83.5,False
B0023,T006,V042,142181475,2023-02-02 20:30:00,QUALIFIED,,84.9,80.2,False
B0024,T007,V016,120060512,2023-02-11 20:30:00,QUALIFIED,,94.4,81.1,False
B0025,T007,V013,168773070,2023-02-03 02:30:00,QUALIFIED,,76.1,95.0,True
B0026,T007,V035,129768385,2023-02-18 00:30:00,QUALIFIED,,85.2,75.3,False
B0027,T007,V029,119571977,2023-02-19 01:30:00,QUALIFIED,,95.7,76.6,False
