contract_id,tender_id,vendor_id,contract_value_inr,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,completion_status
C001,T001,V006,69018197,2023-03-09,2024-08-30,2024-12-09,540,641,DELAYED
C002,T002,V011,134464544,2023-02-25,2023-05-26,2023-09-01,90,188,DELAYED
C003,T003,V043,23627838,2023-03-24,2023-06-22,2023-06-22,90,90,COMPLETED
C004,T004,V014,17956609,2023-03-21,2023-06-19,2023-09-05,90,168,DELAYED
C005,T005,V042,66022598,2023-03-25,2024-09-15,2024-09-15,540,540,COMPLETED
C006,T006,V026,76027932,2023-03-27,2024-09-17,2025-01-09,540,654,DELAYED
C007,T007,V013,168773070,2023-03-21,2023-11-16,2023-11-16,240,240,COMPLETED
C008,T008,V004,116956566,2023-04-08,2023-12-04,2023-12-04,240,240,COMPLETED
C009,T009,V001,5416259,2023-03-29,2023-09-25,2023-10-30,180,215,COMPLETED
C010,T010,V001,24766823,2023-03-30,2024-03-29,2024-03-29,365,365,COMPLETED
C011,T011,V003,108970802,2023-03-28,2023-06-26,2023-09-03,90,159,DELAYED
C012,T012,V037,40880423,2023-03-25,2023-06-23,2023-06-23,90,90,COMPLETED
C013,T013,V001,79954991,2023-04-07,2024-04-06,2024-04-06,365,365,COMPLETED
C014,T014,V004,149756528,2023-04-05,2024-04-04,2024-04-04,365,365,COMPLETED
C015,T015,V026,212345855,2023-03-30,2024-09-20,2024-11-16,540,597,COMPLETED
C016,T016,V006,4363314,2023-04-11,2023-12-07,2023-12-07,240,240,COMPLETED
C017,T017,V005,89118177,2023-04-09,2023-07-08,2023-07-08,90,90,COMPLETED
C018,T018,V001,18205736,2023-04-08,2024-04-07,2024-04-07,365,365,COMPLETED
C019,T019,V001,101656625,2023-04-18,2023-12-14,2023-12-14,240,240,COMPLETED
C020,T020,V001,72205891,2023-03-23,2024-09-13,2024-09-13,540,540,COMPLETED
C021,T021,V001,12961186,2023-04-24,2024-04-23,2024-04-23,365,365,COMPLETED
C022,T022,V002,20028670,2023-04-13,2024-04-12,2024-04-12,365,365,COMPLETED
C023,T023,V017,119720028,2023-04-22,2023-12-18,2023-12-18,240,240,COMPLETED
C024,T024,V036,166308867,2023-04-13,2024-04-12,2024-04-12,365,365,COMPLETED
C025,T025,V001,105696127,2023-04-24,2024-04-23,2024-04-23,365,365,COMPLETED
C026,T026,V014,27169693,2023-04-25,2023-12-21,2023-12-21,240,240,COMPLETED
C027,T027,V024,69165240,2023-04-12,2024-04-11,2024-04-11,365,365,COMPLETED
C028,T028,V044,29001190,2023-04-21,2023-10-18,2024-01-01,180,255,DELAYED
C029,T029,V001,74092452,2023-04-22,2023-10-19,2023-10-19,180,180,COMPLETED
C030,T030,V001,28121996,2023-04-28,2023-10-25,2023-10-25,180,180,COMPLETED
C031,T031,V021,210908138,2023-05-02,2023-07-31,2023-07-31,90,90,COMPLETED
C032,T032,V029,153988404,2023-04-18,2024-10-09,2024-10-09,540,540,COMPLETED
C033,T033,V001,165609321,2023-05-08,2023-11-04,2023-11-04,180,180,COMPLETED
C034,T034,V001,110062170,2023-05-03,2024-05-02,2024-06-29,365,423,COMPLETED
C035,T035,V002,9772625,2023-04-09,2023-07-08,2023-10-06,90,180,DELAYED
C036,T036,V001,111626162,2023-04-26,2023-10-23,2023-10-23,180,180,COMPLETED
C037,T037,V042,82239564,2023-05-13,2023-11-09,2024-02-28,180,291,DELAYED
C038,T038,V016,134451015,2023-05-09,2024-10-30,2024-10-30,540,540,COMPLETED
C039,T039,V036,130551246,2023-04-27,2024-04-26,2024-04-26,365,365,COMPLETED
