vendor_1,vendor_2,together_tender_count,together_percentage
V001,V002,19,31.7
V001,V020,17,25.0
V001,V045,16,29.6
V011,V026,16,23.9
V001,V003,15,22.4
V001,V021,15,21.7
V002,V003,15,25.0
V001,V025,15,23.1
V030,V037,15,25.0
V007,V048,15,23.4
V001,V011,14,20.9
V048,V049,14,28.6
V021,V037,13,21.7
V022,V042,13,21.7
V001,V009,13,22.4
V001,V017,13,18.3
V001,V019,13,21.0
V001,V010,13,21.7
V001,V027,13,22.0
V016,V027,13,22.0
V001,V040,13,22.0
V001,V041,13,24.5
V002,V025,13,21.7
V001,V006,13,22.8
V025,V031,13,22.4
V002,V020,13,21.7
V001,V007,13,20.3
V027,V040,13,22.0
V019,V025,13,21.0
V030,V047,13,21.3
V029,V040,13,25.5
V005,V011,13,22.4
V037,V042,12,20.0
V028,V050,12,22.2
V035,V048,12,19.0
V002,V037,12,20.0
V001,V026,12,17.9
V018,V033,12,20.3
V018,V045,12,22.2
V023,V036,12,24.5
V016,V020,12,19.0
V007,V035,12,19.0
V039,V044,12,20.7
V005,V025,12,20.7
V017,V047,12,19.7
V047,V048,12,19.7
V044,V048,12,20.7
V038,V039,12,22.6
V007,V011,12,18.8
V020,V042,11,17.5
V021,V048,11,15.9
V001,V016,11,17.5
V001,V048,11,14.9
V002,V010,11,18.3
V011,V016,11,17.5
V016,V048,11,17.5
V001,V043,11,21.6
V037,V041,11,20.8
V001,V034,11,20.8
V006,V036,11,19.3
V016,V036,11,17.5
V001,V015,11,23.4
V007,V031,11,19.0
V021,V047,11,18.0
V001,V008,11,20.4
V019,V039,11,17.7
V028,V039,11,20.4
V034,V039,11,20.8
V009,V045,11,20.4
V017,V036,11,16.9
V017,V038,11,20.8
V009,V018,11,19.0
V007,V034,11,20.8
V019,V032,11,19.0
V026,V047,11,18.0
V036,V042,11,17.5
V019,V046,11,20.0
V024,V032,11,19.0
V010,V018,11,18.3
V025,V026,11,16.9
V008,V011,11,20.4
V011,V045,11,20.4
V021,V033,11,18.6
V003,V032,11,19.0
V005,V048,11,19.0
V039,V048,11,15.7
V026,V040,11,18.6
V014,V020,11,22.4
V003,V035,11,17.5
V006,V042,11,19.3
V020,V033,11,18.6
V043,V050,10,19.6
V010,V016,10,16.7
